yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201715,white,112,3678,001001..5000,1
201716,white,83,2201,001001..5000,1
201717,white,160,2351,001001..5000,1
201718,white,192,3253,001001..5000,1
201719,white,197,2071,001001..5000,1
201720,white,150,1158,001001..5000,1
201721,white,115,1605,001001..5000,1
201722,white,103,1205,001001..5000,1
201723,white,117,1002,001001..5000,1
201734,white,95,4870,001001..5000,1
201735,white,119,4575,001001..5000,1
201744,white,32,3725,001001..5000,1
201748,white,14,1494,001001..5000,1
201749,white,35,1808,001001..5000,1
201750,white,41,3547,001001..5000,2
201751,white,33,3351,001001..5000,1
201752,white,38,2882,001001..5000,2
201753,white,7,1002,001001..5000,1
201801,white,66,2798,001001..5000,2
201804,white,102,1416,001001..5000,1
201805,white,45,3438,001001..5000,1
201806,white,72,3032,001001..5000,1
201807,white,34,3521,001001..5000,2
201808,white,86,4375,001001..5000,2
201809,white,115,3242,001001..5000,1
201810,white,51,4786,001001..5000,1
201811,white,57,3125,001001..5000,1
201812,white,51,1909,001001..5000,2
201813,white,70,2518,001001..5000,4
201814,white,91,2601,001001..5000,4
201815,white,54,2606,001001..5000,4
201816,white,25,2546,001001..5000,4
201817,white,30,2752,001001..5000,4
201818,white,18,2921,001001..5000,4
201822,white,21,2143,001001..5000,540
201823,white,51,2024,001001..5000,529
201824,white,25,1853,001001..5000,692
201825,white,17,2079,001001..5000,576
201826,white,24,2174,001001..5000,503
201827,white,19,2033,001001..5000,509
201828,white,57,2224,001001..5000,590
201829,white,122,1832,001001..5000,767
201830,white,71,2187,001001..5000,580
201831,white,57,2472,001001..5000,394
201832,white,66,2460,001001..5000,546
201833,white,56,2355,001001..5000,492
201834,white,53,2289,001001..5000,502
201835,white,78,2004,001001..5000,583
201836,white,97,2463,001001..5000,564
201837,white,51,2199,001001..5000,932
201838,white,68,2096,001001..5000,889
201839,white,42,2099,001001..5000,1101
201840,white,55,2235,001001..5000,985
201841,white,39,2218,001001..5000,1256
201842,white,40,2268,001001..5000,1624
201843,white,21,2256,001001..5000,1585
