yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201715,black,510,3678,001001..5000,1
201716,black,374,2201,001001..5000,1
201717,black,552,2351,001001..5000,1
201718,black,496,3253,001001..5000,1
201719,black,442,2071,001001..5000,1
201720,black,494,1158,001001..5000,1
201721,black,420,1605,001001..5000,1
201722,black,276,1205,001001..5000,1
201723,black,380,1002,001001..5000,1
201731,black,240,3544,001001..5000,1
201732,black,398,1946,001001..5000,1
201733,black,374,3746,001001..5000,2
201734,black,378,2374,001001..5000,2
201735,black,364,2181,001001..5000,2
201736,black,420,2192,001001..5000,1
201737,black,348,2223,001001..5000,2
201738,black,456,1648,001001..5000,2
201739,black,328,1735,001001..5000,2
201740,black,310,1596,001001..5000,2
201741,black,268,1815,001001..5000,2
201742,black,324,1704,001001..5000,1
201743,black,226,2293,001001..5000,1
201744,black,152,2592,001001..5000,1
201748,black,62,2211,001001..5000,3
201749,black,130,2827,001001..5000,3
201750,black,238,3230,001001..5000,2
201751,black,134,3093,001001..5000,2
201752,black,164,2085,001001..5000,3
201753,black,24,1842,001001..5000,3
201801,black,368,2331,001001..5000,3
201802,black,274,2127,001001..5000,2
201803,black,232,2190,001001..5000,3
201804,black,686,1609,001001..5000,3
201805,black,166,2198,001001..5000,1
201806,black,230,1865,001001..5000,1
201807,black,188,2052,001001..5000,1
201808,black,576,3696,001001..5000,3
201809,black,212,2937,001001..5000,2
201810,black,294,1851,001001..5000,1
201811,black,234,1821,001001..5000,1
201812,black,334,2312,001001..5000,3
201813,black,188,2736,001001..5000,3
201814,black,264,2503,001001..5000,3
201815,black,190,2981,001001..5000,4
201816,black,80,2968,001001..5000,3
201817,black,98,2656,001001..5000,3
201818,black,80,3128,001001..5000,3
201822,black,1122,2231,001001..5000,560
201823,black,206,2434,001001..5000,554
201824,black,78,2155,001001..5000,722
201825,black,68,2363,001001..5000,642
201826,black,70,2203,001001..5000,654
201827,black,60,2092,001001..5000,655
201828,black,166,2218,001001..5000,633
201829,black,302,2026,001001..5000,862
201830,black,214,2331,001001..5000,702
201831,black,198,2520,001001..5000,498
201832,black,174,2564,001001..5000,647
201833,black,184,2486,001001..5000,674
201834,black,162,2360,001001..5000,686
201835,black,158,2245,001001..5000,828
201836,black,194,2487,001001..5000,785
201837,black,140,2158,001001..5000,1087
201838,black,140,2243,001001..5000,1137
201839,black,116,2185,001001..5000,1279
201840,black,376,2380,001001..5000,1276
201841,black,174,2340,001001..5000,1512
201842,black,208,2364,001001..5000,1696
201843,black,104,2573,001001..5000,1709
