yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201532,nylon,11,228804,200001..250000,1
201533,nylon,15,204403,200001..250000,1
201536,nylon,11,229033,200001..250000,1
201538,nylon,4,201550,200001..250000,1
201539,nylon,4,241153,200001..250000,1
201545,nylon,10,200537,200001..250000,1
201546,nylon,8,218454,200001..250000,2
201547,nylon,2,233134,200001..250000,2
201548,nylon,4,235854,200001..250000,2
201552,nylon,2,218184,200001..250000,1
201612,nylon,53,218043,200001..250000,1
201613,nylon,15,232453,200001..250000,1
201615,nylon,10,219949,200001..250000,2
201617,nylon,12,247667,200001..250000,1
201621,nylon,9,222004,200001..250000,2
201630,nylon,15,231979,200001..250000,2
201631,nylon,19,244232,200001..250000,1
201633,nylon,17,202789,200001..250000,1
201635,nylon,4,205093,200001..250000,2
201637,nylon,8,235467,200001..250000,1
201638,nylon,7,228285,200001..250000,1
201640,nylon,6,203988,200001..250000,1
201643,nylon,6,204068,200001..250000,1
201730,nylon,16,249571,200001..250000,1
201735,nylon,4,235023,200001..250000,1
201742,nylon,1,232204,200001..250000,1
201806,nylon,2,235368,200001..250000,1
201807,nylon,5,218735,200001..250000,2
201816,nylon,1,208327,200001..250000,1
201818,nylon,0,236466,200001..250000,1
201822,nylon,2,222782,200001..250000,19
201823,nylon,6,220739,200001..250000,16
201824,nylon,2,236250,200001..250000,6
201825,nylon,1,221917,200001..250000,2
201826,nylon,3,220824,200001..250000,5
201827,nylon,1,242008,200001..250000,1
201828,nylon,8,208733,200001..250000,2
201829,nylon,5,232156,200001..250000,6
201830,nylon,4,212018,200001..250000,1
201831,nylon,2,200714,200001..250000,2
201832,nylon,20,207441,200001..250000,1
201833,nylon,3,217066,200001..250000,3
201834,nylon,8,232383,200001..250000,2
201835,nylon,2,224477,200001..250000,10
201836,nylon,22,216825,200001..250000,8
201837,nylon,2,236158,200001..250000,2
201838,nylon,7,204752,200001..250000,2
201839,nylon,1,222069,200001..250000,12
201840,nylon,3,220139,200001..250000,7
201841,nylon,4,228614,200001..250000,2
201842,nylon,5,238872,200001..250000,2
201843,nylon,1,225581,200001..250000,2
